Numero;Pergunta;Alternativa_A;Alternativa_B;Alternativa_C;Alternativa_D;Alternativa_E;Gabarito
11;departamento jurÃdico da empresa Nós e Nós, que é seja de que natureza for, constitui elemento impeditivo especializada na produção de cordas. O departamento da aposição do visto. que ela coordena possui cerca de cem advogados. Dez (C) O exercÃcio da advocacia no local da sede da Junta deles resolvem propor ação judicial para reclamar direitos Comercial é impeditivo para a aposição do visto. que são comuns a todos, inclusive à advogada chefe do (D) A atuação em sociedade de economia mista estadual impede a aposição do visto contratado.;"assumir a defesa da empresa, por força da relação de visto em ato constitutivo de pessoa jurÃdica) em determinadas situações, tal como a narrada no enunciado;";comunicar o fato à empresa e escusar-se de realizar departamento jurÃdico de empresa privada, não haveria impedimento a defesa. algum. No enunciado, como o advogado chefia departamento jurÃdico;indicar advogado da sua equipe para realizar a defesa. de sociedade de economia mista no Estado W, como será melhor;"renunciar ao cargo por impossibilidade de exercÃcio analisado mais à frente, ficará impossibilitado de vistar atos consti- do mesmo. tutivos de pessoas jurÃdicas cujo registro deva ocorrer no Estado W;";;A
12;empresa. Um dos seus clientes realiza contrato para que advocatÃcios, o advogado fica desobrigado de atuar Mário aponha o seu visto em ato constitutivo de pessoa na causa imediatamente após a comunicação da jurÃdica, em Junta Comercial cuja sede está localizada renúncia. Observado tal relato, consoante as normas do Regula- que esteja sob a responsabilidade do advogado (cÃvel ou criminal), mento Geral do Estatuto da Advocacia e da OAB, assinale carreará a este o dever de permanecer representando o (ex)cliente pelo prazo de dez dias, contados da notificação da renúncia, salvo;"As circunstâncias indicam que não existe óbice para se novo advogado for constituÃdo nesse interregno (art. 5º, § 3º, do a aposição do visto nos referidos atos. Estatuto da OAB e art. 16 do CED); CCOOMMOO PPAASSSSAARR OOAABB 1166EEDD..iinnddbb 99 2277//0033//22002200 1111::3300::1166 renúncia ao mandato, pelo advogado, não lhe permite “sair do processo” imediatamente. Os referidos arts. 5º, § 3º, do Estatuto e 16 do CED, carga, portanto), independentemente de atuação conjunta com advo- preveem que nos dez dias subsequentes à notificação da renúncia, o gado, consoante de extrai do art. 29, § 1º, I, do Regulamento Geral. advogado continuará a representar o (ex)cliente, salvo se substituÃdo Evidente, porém, que, para tanto, disponha o estagiário de procuração antes do término de aludido prazo; processo-crime ocorreu cinco dias após a notificação da renúncia, a processo; advogada Ana tem o dever de apresentar a petição, sob pena, inclusive, em conjunto e sob a supervisão do advogado (art. 29, caput, e § 1º, do de caracterizar-se o abandono da causa, que é infração ética (art. 34, XI, Regulamento Geral). Mesmo para aqueles atos que o estagiário poderá do Estatuto da OAB); O advogado renunciante tem o dever de permanecer representando a responsabilidade por eles continua a ser do advogado; o (ex)cliente pelo prazo de dez dias após a notificação da renúncia, Uma das atividades que o estagiário pode praticar isoladamente é, salvo se novo advogado for constituÃdo nesse perÃodo (art. 5º, § 3º, do exatamente, a subscrição de petições de juntada de documentos a Estatuto e art. 16 do CED). processos judiciais ou administrativos, conforme autoriza o art. 29, §";É fixado pelo Juiz de acordo com a complexidade do Ordem dos Advogados do Brasil, apesar de o mesmo ter logrado êxito no Exame de Ordem. Observado tal relato,;É de quinze dias, prorrogáveis por igual perÃodo. consoante as normas do Regulamento Geral do Estatuto;Será fixado de acordo com o procedimento adotado da Advocacia e da OAB, assinale a afirmativa correta.;;A
13;"giário os poderes que lhe foram conferidos pelo cliente. ( do Estatuto da OAB, a direção jurÃdica é tarefa privativa de advogado, A respeito do caso apresentado, consoante as normas do com regular inscrição nos quadros da OAB; Regulamento Geral do Estatuto da Advocacia e da OAB, destacar que o exercÃcio de atividades privativas de advocacia ( Estatuto da OAB) e a própria denominação “advogado”, são exclusivos";"O estagiário poderá retirar os autos do cartório con- dos inscritos na Ordem dos Advogados do Brasil, consoante dispõe juntamente com a advogada. o art. 3º do Estatuto da OAB;";Os atos do estagiário ocorrem sob a supervisão e a afirmação de que um gerente jurÃdico, por ser função de confiança, responsabilidade da advogada. pode ser pessoa não formada em Direito. A própria inscrição na OAB exige o bacharelado no curso de Direito (art. 8º, II, do Estatuto da OAB).;As petições apresentadas no processo terão a subs- ”B“ otirabaG crição conjunta da advogada inclusive de juntada de documentos. (;O estagiário poderá realizar audiências judiciais contrata, para prestação de serviços profissionais de advo- autonomamente sem a presença da advogada. cacia, Mévio, que se apresenta como advogado. O cliente CCOOMMOO PPAASSSSAARR OOAABB 1166EEDD..iinnddbb 1100 2277//0033//22002200 1111::3300::1166 outorga a devida procuração com poderes gerais para o Consultorias JurÃdicas dos Estados, do Distrito Federal, dos MunicÃpios, foro. Usando o referido instrumento, ocorre a proposi- das autarquias e das fundações públicas, estando obrigados à inscrição tura de ação judicial em face de Trácio. Na contestação, na OAB, para o exercÃcio de suas atividades. Portanto, apenas a alter- o advogado do réu alega vÃcio na representação, uma nativa “D” contém advogado que não integra a denominada “advocacia vez que Mévio não possui registro na OAB, consoante pública”. No âmbito da administração pública indireta, os advogados certidão que apresenta nos autos judiciais. Diante de tal de autarquias e fundações públicas serão considerados advogados circunstância, é correto afirmar que públicos. Porém, assim não serão considerados os advogados de;;A
14;outorga a devida procuração com poderes gerais para o Consultorias JurÃdicas dos Estados, do Distrito Federal, dos MunicÃpios, foro. Usando o referido instrumento, ocorre a proposi- das autarquias e das fundações públicas, estando obrigados à inscrição tura de ação judicial em face de Trácio. Na contestação, na OAB, para o exercÃcio de suas atividades. Portanto, apenas a alter- o advogado do réu alega vÃcio na representação, uma nativa “D” contém advogado que não integra a denominada “advocacia vez que Mévio não possui registro na OAB, consoante pública”. No âmbito da administração pública indireta, os advogados certidão que apresenta nos autos judiciais. Diante de tal de autarquias e fundações públicas serão considerados advogados circunstância, é correto afirmar que públicos. Porém, assim não serão considerados os advogados de sociedades de economia, visto não estarem contemplados pelo já citado;os atos praticados pelo suposto advogado não ofen- art. 9º do Regulamento Geral. Não é demais frisar que as sociedades dem qualquer dispositivo legal. de economia mista, embora integrem a administração pública indireta,;verificada a ausência de inscrição profissional, deverá são pessoas jurÃdicas de direito privado.;quatro peças defensivas gerais. de defesa judicial dos direitos dos consumidores, não;cinco atos privativos de advogado. possuindo advogados nos seus quadros. Notificada pelo órgão seccional da OAB, alega que as atividades de De acordo com o art. 5º do Regulamento Geral, considera-se efetivo consultoria jurÃdica não seriam privativas dos advogados. exercÃcio da atividade de advocacia a participação anual mÃnima em Diante desse quadro, à luz das normas estatutárias, é cinco atos privativos previstos no art. 1º do Estatuto, em causas ou correto afirmar que é atividade privativa da advocacia questões distintas.;;A
15;vedado pelo ”B“ otirabaG (A) o advogado exerce função pública. (B) exerce ministério privado, exercendo função social. (C) atua na defesa de interesses patrimoniais privados, para atuação do advogado desenvolveu o ramo da Advo- cacia Pública. Assim, à luz das normas do Regulamento Geral do Estatuto da Advocacia e da OAB, nela podem (D) no seu ministério privado, deixa de exercer função ser integrados o(a), exceto: social.;Advogado-Geral da União.;"Defensor Público. mas, sim, múnus público (art. 2º, § 2º, do EAOAB);";"Advogado (Procurador) de Autarquia. 1º, do EAOAB);";"Advogado de Sociedade de Economia Mista. sua atividade privada, tem relevante função social, não atuando apenas na defesa de interesses patrimoniais privados; Conforme dispõe o art. 9º do Regulamento Geral (e, também, o art. ainda que na sua atividade privada (ministério privado), o advogado 3º, § 1º, do EAOAB), exercem a advocacia pública os integrantes da exerce função social.";;A
16;vedado pelo ”B“ otirabaG (A) o advogado exerce função pública. (B) exerce ministério privado, exercendo função social. (C) atua na defesa de interesses patrimoniais privados, para atuação do advogado desenvolveu o ramo da Advo- cacia Pública. Assim, à luz das normas do Regulamento Geral do Estatuto da Advocacia e da OAB, nela podem (D) no seu ministério privado, deixa de exercer função ser integrados o(a), exceto: social.;Advogado-Geral da União.;O bacharel em Direito aposentado não tem vedado;habeas corpus e mandado de segurança.;"Advogado de Sociedade de Economia Mista. sua atividade privada, tem relevante função social, não atuando apenas na defesa de interesses patrimoniais privados; Conforme dispõe o art. 9º do Regulamento Geral (e, também, o art. ainda que na sua atividade privada (ministério privado), o advogado 3º, § 1º, do EAOAB), exercem a advocacia pública os integrantes da exerce função social.";;A
17;(B) Considera-se efetivo exercÃcio da atividade de advo- ( ”C“ otirabaG privativos da profissão de advogado, em causas ou o Estatuto da Advocacia e da OAB, o advogado que, por -se na OAB, visto que sua capacidade postulatória já motivos pessoais, não mais deseje continuar patrocinando deriva da própria assunção desse cargo público. determinada causa deve (D) Os honorários de sucumbência a que o advogado;renunciar ao mandato e continuar representando seu empregado faça jus, como regra, devem integrar o cliente por trinta dias, salvo se este constituir novo salário ou remuneração e, por isso, devem ser consi- advogado antes do término do prazo. derados para efeitos trabalhistas ou previdenciários.;fazer um substabelecimento sem reservas de poderes para outro advogado e depois comunicar o fato ao cliente. assessoria, consultoria e direção jurÃdica, seja esta última em empresas;comunicar ao cliente a renúncia ao mandato e fun- públicas, privadas ou paraestatais,;"comunicar ao cliente a desistência do mandato e o efetivo exercÃcio da advocacia decorre da participação anual mÃnima indicar outro advogado para a causa, o qual deve ser, em cinco atos privativos da advocacia (sobre atividades privativas de obrigatoriamente, contratado pelo cliente. advogado, ver art. 1º do EAOAB); Estado, assim como os integrantes da Advocacia Geral da União, da 8.906/1994, art. 5.º, § 3.º; art. 16, caput, do CED); advogado pode fazer substabelecimento sem reservas a outro advo- o art. 9º do Regulamento Geral e art. 3º, § 1º, do EAOAB, são advogados gado, desde que dê prévio e inequÃvoco conhecimento de tal fato ao públicos, deles sendo exigida a inscrição nos quadros da OAB; D: incor- cliente (art. 26, § 1º, CED); advogado responde por até dez dias, mas, se outro advogado ingressar motivo pelo qual não integram o salário do advogado empregado para no processo antes, o anterior se desobriga (Lei 8.906/1994, art. 5.º, § fins trabalhistas ou previdenciários (art. 14 do Regulamento Geral).";;A
18;advogado pode fazer substabelecimento sem reservas a outro advo- o 3º,;"O advogado que renunciar à procuração que lhe foi considerados advogados públicos, sujeitam-se aos ditames do EAOAB, outorgada fica obrigado a representar o outorgante sem prejuÃzo de suas próprias leis de regência (leis orgânicas). Assim, o pelo prazo de dez dias, a contar da notificação da fato de os defensores públicos não poderem exercer a atividade privada da advocacia não induz pensar que não se sujeitam ao Estatuto da OAB; renúncia, ainda que outro advogado o substitua.";A procuração para o foro confere, em geral, poderes em conjunto e sob a supervisão de um advogado, o estagiário poderá especiais ao advogado. praticar os atos privativos de advocacia (art. 1º do EAOAB), atentando-;Em caso de urgência, pode o advogado postular em -se ao art. 29 do Regulamento Geral (vide comentário à alternativa A).;Caso o advogado não junte procuração, o juiz man- (;;A
19;grem a sociedade de que façam parte e exercidos no qualquer instância, mas não lhe confere poderes especiais, os quais deverão constar expressamente na procuração ( urgência, ficará momentaneamente desobrigado a juntar aos autos a pelo decurso de tempo, desde que permaneça a con- procuração. Contudo, deverá juntá-la no prazo de 15 dias, prorrogável fiança recÃproca entre o outorgante e o seu patrono por igual perÃodo (a prorrogação não é automática!),;Apenas o item I está certo. anexar aos autos à procuração. Porém, em caso de urgência, poderá;Com a instituição das defensorias públicas nos Esta- no CED, enquanto permanecer a confiança recÃproca entre cliente e dos e no DF, regidas por lei especÃfica, os defensores advogado, o mandato será válido.;Os procuradores da fazenda nacional, por serem (;Ao estagiário devidamente inscrito na OAB é permi- Ordem dos Advogados do Brasil (OAB) –, seguida de uma tido praticar os atos privativos de advogado, desde assertiva a ser julgada. Assinale a opção que apresenta;;A
20;por mais de 25 anos e, em março de 2008, recebeu sas desempregado, e Júlio, mecânico, por não disporem a comunicação de sua demissão. Irresignado, ele pre- dos recursos financeiros necessários à constituição de tende ingressar com reclamação trabalhista perante a advogado, resolveram ingressar em juÃzo pessoalmente. justiça do trabalho. Nessa situação, para ingressar com João impetrou habeas corpus em favor de seu irmão Jânio, a ação na justiça, Eduardo deverá, obrigatoriamente, e Júlio ingressou com ação no juizado especial civil. contratar um advogado. Tendo como referência essa situação hipotética, assinale (D) Carlos é bacharel em direito e, tendo sido aprovado no a opção correta. exame de ordem, foi inscrito na OAB. Nessa situação,;Apenas na impetração de habeas corpus é possÃvel ele não pode ingressar com ação de indenização nos ingressar em juÃzo pessoalmente, prescindindo-se da juizados especiais, pois o acesso aos juizados é restrito constituição de advogado. ao cidadão comum.;Alegação final apresentada em audiência por advo- gado suspenso do exercÃcio profissional é considerada (;A procuração, instrumento indispensável para o exer- inscrito na OAB/SP desde março de 2008 e acompanha cÃcio profissional da advocacia, habilita o advogado os processos do escritório, sob a responsabilidade de um para a prática de todos os atos judiciais em prol do advogado, perante as varas cÃveis da primeira instância seu cliente, sendo sua imediata apresentação exigida da capital, bem como no Tribunal de Justiça de São Paulo até nos casos de urgência. (TJ/SP). Considerando essa situação hipotética, assinale a;Ao renunciar ao mandato de cliente, já no dia opção correta de acordo com a norma em vigor. seguinte, o advogado estará sem a representação do (A) Alberto pode assinar petição de juntada de documento referido cliente, eximindo-se de qualquer responsa- em processo em curso perante qualquer vara cÃvel da bilidade sobre a causa. capital, sem a assinatura conjunta do advogado por ele responsável.;;A
21;solicitou a propositura de ação de divórcio, entendendo (A) José Silva deverá apresentar petição de especificação esta que a contratação anterior se estenderia também a de provas na hipótese de seu cliente não ter constitu- essa causa, apesar de nada constar na procuração e no Ãdo novo advogado nos autos. contrato de honorários, restritos à separação judicial. (B) José Silva deverá comunicar ao seu cliente da publi- Considerando essa situação hipotética, assinale a opção cação da intimação para que ele providencie outro correta de acordo com a norma em vigor.;Por se tratar de direito de famÃlia, o acessório (divórcio) (C) O juiz deve reabrir o prazo para especificação de acompanha o principal, a separação, sem necessidade provas porque uma das partes estava sem advogado de nova procuração. nos autos.;Não é necessária nova procuração, mas devem ser (D) O cliente pode se dirigir diretamente ao juiz e informar cobrados novos honorários. as provas que pretende produzir, juntando aos autos;Uma vez concluÃda a causa ou arquivado o pro- a notificação de renúncia de seu advogado. cesso, presumem-se o cumprimento e a cessação do mandato, sendo necessários nova procuração para o;Não é necessária nova procuração desde que se prazo de 10 dias, salvo se for substituÃdo em prazo inferior. proponha conversão da separação em divórcio, de;;A
